2022-12-20 16:18:48,988 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,060 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,210 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,278 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,409 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,520 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,617 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,759 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,862 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:49,961 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,081 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,376 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,574 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,583 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,695 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:50,900 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,001 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,052 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,143 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,551 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,595 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,693 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,849 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:51,973 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,024 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,219 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,339 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,677 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,782 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:52,938 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,007 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,119 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,246 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,349 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,489 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,740 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,817 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:53,919 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,008 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,109 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,269 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,329 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,508 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,561 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,825 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:54,910 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,058 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,116 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,239 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,388 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,439 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,558 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,745 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:55,967 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:56,082 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:56,259 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:56,311 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
